,run,model,dataset_size,checkpoint_nbr,recall,recall_stderr,hellaswag_absolute,hellaswag_absolute_stderr,hellaswag_relative,hellaswag_relative_stderr,tv,tv_stderr,kl,kl_stderr
0,sft_Lam1B_facts=500-epochs=30-batch=8-gradAcc=16-LR=5e-5-loraR=0-loraA=0-weight,Lam1B-weight,500,4,0.0,0.0,0.44742083250348536,0.0049621155260142985,99.11757997939833,1.5483729243132878,0.05030610039830208,0.0004738416622860326,0.023042473942041397,0.0005025800144692182
1,Lam1B-weight_base,Lam1B-weight,0,0,0.0,0.0,0.45140410276837284,0.004966158142645413,100.0,0.0,0.0,0.0,0.0,0.0
2,sft_Lam1B_facts=500-epochs=30-batch=8-gradAcc=16-LR=5e-5-loraR=0-loraA=0-weight,Lam1B-weight,500,8,0.04666666666666667,0.012177696674506895,0.43537143995220073,0.004947922692688837,96.4482661183907,1.525572921903805,0.10219592601060867,0.0008873926387876752,0.08437613397836685,0.001536496755319038
3,sft_Lam1B_facts=500-epochs=30-batch=8-gradAcc=16-LR=5e-5-loraR=0-loraA=0-weight,Lam1B-weight,500,12,0.06333333333333334,0.014062031885212775,0.42889862577175863,0.00493907301475494,95.01433718479159,1.5132248400165371,0.15515241026878357,0.0012938512196952485,0.1991720348596573,0.003608260631139805
4,sft_Lam1B_facts=500-epochs=30-batch=8-gradAcc=16-LR=5e-5-loraR=0-loraA=0-weight,Lam1B-weight,500,16,0.07,0.014730919862656237,0.424317864967138,0.004932289405608945,93.99955670870605,1.5044426652137768,0.17109964787960052,0.0014115327319457706,0.24597343802452087,0.004332805033792367
5,sft_Lam1B_facts=500-epochs=30-batch=8-gradAcc=16-LR=5e-5-loraR=0-loraA=0-weight,Lam1B-weight,500,20,0.20333333333333334,0.02323710315342605,0.4252141007767377,0.004933650697000605,94.1981007148967,1.5061637925106834,0.1825939267873764,0.0014892351212646025,0.28152719140052795,0.004810062365985317
6,sft_Lam1B_facts=500-epochs=30-batch=8-gradAcc=16-LR=5e-5-loraR=0-loraA=0-weight,Lam1B-weight,500,24,0.39666666666666667,0.02824430457173164,0.424815773750249,0.004933047726996794,94.10985893436752,1.5053990206591785,0.19371522963047028,0.0015518930712933453,0.3128378689289093,0.0051740395233727645
7,sft_Lam1B_facts=500-epochs=30-batch=8-gradAcc=16-LR=5e-5-loraR=0-loraA=0-weight,Lam1B-weight,500,28,0.6166666666666667,0.028070677992577286,0.4267078271260705,0.00493588266625048,94.52900739188111,1.5090292204795455,0.19619323313236237,0.001578640479341512,0.32586944103240967,0.005377799480585809
8,sft_Lam1B_facts=500-epochs=30-batch=8-gradAcc=16-LR=5e-5-loraR=0-loraA=0-weight,Lam1B-weight,500,32,0.7,0.026457513110645908,0.4267078271260705,0.00493588266625048,94.52900739188111,1.5090292204795455,0.19585055112838745,0.0015959287164197592,0.3361760675907135,0.005622684359862513
9,sft_Lam1B_facts=500-epochs=30-batch=8-gradAcc=16-LR=5e-5-loraR=0-loraA=0-weight,Lam1B-weight,500,36,0.7366666666666667,0.025428913260885325,0.4289982075283808,0.004939215682191773,95.03639762992388,1.5134153529250707,0.1975281536579132,0.0016125354708057863,0.3450116217136383,0.005759933431423942
