,loss_best,accuracy_best,data.n_data,data.key,model.emb_dim,model.nb_layers,model.block.nb_heads
0,7.011394842493246e-08,1.0,10,qatool,16,1,1
1,4.021290465061611e-07,1.0,10,qatool,16,1,2
2,3.391794280105387e-06,1.0,10,qatool,16,1,4
3,0.008736022748053074,0.95,10,qatool,16,1,8
4,2.0052077331911278e-08,1.0,10,qatool,16,2,1
5,2.446735791750143e-08,1.0,10,qatool,16,2,2
6,1.6785744492153754e-06,1.0,10,qatool,16,2,4
7,0.00022722221910953522,1.0,10,qatool,16,2,8
8,1.9301230835822025e-08,1.0,10,qatool,16,3,1
9,5.97668545765373e-08,1.0,10,qatool,16,3,2
10,2.9010730031586718e-06,1.0,10,qatool,16,3,4
11,6.237047637114301e-05,1.0,10,qatool,16,3,8
12,4.727600355636241e-08,1.0,10,qatool,16,4,1
13,8.200342449526943e-08,1.0,10,qatool,16,4,2
14,3.3063741966543603e-07,1.0,10,qatool,16,4,4
15,8.732542482903227e-06,1.0,10,qatool,16,4,8
16,4.590052782305065e-08,1.0,10,qatool,16,5,1
17,9.940814749143101e-08,1.0,10,qatool,16,5,2
18,2.0686421464688465e-07,1.0,10,qatool,16,5,4
19,3.7696784147556173e-06,1.0,10,qatool,16,5,8
20,8.702386367076542e-08,1.0,10,qatool,16,6,1
21,8.383140936985001e-08,1.0,10,qatool,16,6,2
22,2.776920382530079e-07,1.0,10,qatool,16,6,4
23,2.757381480478216e-06,1.0,10,qatool,16,6,8
24,1.5017112886539508e-08,1.0,10,qatool,32,1,1
25,1.5236837569432282e-08,1.0,10,qatool,32,1,2
26,1.3630204520609368e-08,1.0,10,qatool,32,1,4
27,2.1627812429869664e-08,1.0,10,qatool,32,1,8
28,1.0640906822345642e-08,1.0,10,qatool,32,2,1
29,8.937939277586793e-09,1.0,10,qatool,32,2,2
30,8.875975510136414e-09,1.0,10,qatool,32,2,4
31,1.1764798024671563e-08,1.0,10,qatool,32,2,8
32,1.0964150476411305e-08,1.0,10,qatool,32,3,1
33,1.0171351760845937e-08,1.0,10,qatool,32,3,2
34,8.89843843054905e-09,1.0,10,qatool,32,3,4
35,9.98001059571152e-09,1.0,10,qatool,32,3,8
36,1.083307665794564e-08,1.0,10,qatool,32,4,1
37,1.0984912535150215e-08,1.0,10,qatool,32,4,2
38,9.248716459353545e-09,1.0,10,qatool,32,4,4
39,1.0371939751507853e-08,1.0,10,qatool,32,4,8
40,1.3866379156013409e-08,1.0,10,qatool,32,5,1
41,1.2523099890415779e-08,1.0,10,qatool,32,5,2
42,1.2634068902173112e-08,1.0,10,qatool,32,5,4
43,1.1715182601790275e-08,1.0,10,qatool,32,5,8
44,1.3221711725464047e-08,1.0,10,qatool,32,6,1
45,1.3065187154381874e-08,1.0,10,qatool,32,6,2
46,1.237915103757814e-08,1.0,10,qatool,32,6,4
47,1.5689863630541367e-08,1.0,10,qatool,32,6,8
48,9.316567961548117e-09,1.0,10,qatool,64,1,1
49,7.429143522585946e-09,1.0,10,qatool,64,1,2
50,6.396248863893561e-09,1.0,10,qatool,64,1,4
51,7.393927692334046e-09,1.0,10,qatool,64,1,8
52,6.667736140997249e-09,1.0,10,qatool,64,2,1
53,6.289497811451383e-09,1.0,10,qatool,64,2,2
54,3.771051027001704e-09,1.0,10,qatool,64,2,4
55,7.128471146700122e-09,1.0,10,qatool,64,2,8
56,5.168948380429583e-09,1.0,10,qatool,64,3,1
57,5.764534627417106e-09,1.0,10,qatool,64,3,2
58,4.3949914818597335e-09,1.0,10,qatool,64,3,4
59,7.3361552388462314e-09,1.0,10,qatool,64,3,8
60,4.682990883964067e-09,1.0,10,qatool,64,4,1
61,5.486754606209843e-09,1.0,10,qatool,64,4,2
62,6.3767320312990705e-09,1.0,10,qatool,64,4,4
63,7.344432173539417e-09,1.0,10,qatool,64,4,8
64,4.7193622343399966e-09,1.0,10,qatool,64,5,1
65,6.2595382210872685e-09,1.0,10,qatool,64,5,2
66,5.179923157072608e-09,1.0,10,qatool,64,5,4
67,5.2908508685334255e-09,1.0,10,qatool,64,5,8
68,3.0227906844260133e-09,1.0,10,qatool,64,6,1
69,5.132145819430889e-09,1.0,10,qatool,64,6,2
70,3.2307789776808704e-09,1.0,10,qatool,64,6,4
71,5.429795280065264e-09,1.0,10,qatool,64,6,8
72,5.6979070350848815e-09,1.0,10,qatool,128,1,1
73,5.1153357105704345e-09,1.0,10,qatool,128,1,2
74,3.8634437871110094e-09,1.0,10,qatool,128,1,4
75,3.960054062446261e-09,1.0,10,qatool,128,1,8
76,2.7079767317417236e-09,1.0,10,qatool,128,2,1
77,3.2987672593520756e-09,1.0,10,qatool,128,2,2
78,1.35317945737512e-09,1.0,10,qatool,128,2,4
79,1.493753454262503e-09,1.0,10,qatool,128,2,8
80,7.755551201249489e-10,1.0,10,qatool,128,3,1
81,9.599527839299071e-10,1.0,10,qatool,128,3,2
82,1.1001345390226902e-09,1.0,10,qatool,128,3,4
83,7.901517218300569e-10,1.0,10,qatool,128,3,8
84,8.232953763176454e-10,1.0,10,qatool,128,4,1
85,5.501568645094324e-10,1.0,10,qatool,128,4,2
86,5.826139015674414e-10,1.0,10,qatool,128,4,4
87,1.2326876186463664e-09,1.0,10,qatool,128,4,8
88,3.6882857878950404e-10,1.0,10,qatool,128,5,1
89,1.746703476301903e-10,1.0,10,qatool,128,5,2
90,3.1054192550783455e-10,1.0,10,qatool,128,5,4
91,5.752969212124981e-10,1.0,10,qatool,128,5,8
