,loss_best,accuracy_best,data.nb_data,data.key,model.emb_dim,model.nb_layers,model.block.nb_heads,nb_params
0,2.358891038056754e-08,1.0,10,qatool,16,1,1,13744
1,2.454022407505363e-08,1.0,10,qatool,16,1,2,13744
2,3.099532008832284e-08,1.0,10,qatool,16,1,4,13744
3,9.094222974681543e-08,1.0,10,qatool,16,1,8,13744
4,1.9032158959930712e-08,1.0,10,qatool,16,2,1,17872
5,1.7590384260302017e-08,1.0,10,qatool,16,2,2,17872
6,1.6116691980982978e-08,1.0,10,qatool,16,2,4,17872
7,1.9110578008962875e-08,1.0,10,qatool,16,2,8,17872
8,1.987791620194912e-08,1.0,10,qatool,16,3,1,22000
9,1.771231694647213e-08,1.0,10,qatool,16,3,2,22000
10,1.587811127023997e-08,1.0,10,qatool,16,3,4,22000
11,1.7642843630483185e-08,1.0,10,qatool,16,3,8,22000
12,1.7083554126884337e-08,1.0,10,qatool,16,4,1,26128
13,1.8094381104560853e-08,1.0,10,qatool,16,4,2,26128
14,1.5469115766109098e-08,1.0,10,qatool,16,4,4,26128
15,1.8110366539758616e-08,1.0,10,qatool,16,4,8,26128
16,1.6795519641732426e-08,1.0,10,qatool,16,5,1,30256
17,1.7511553096483112e-08,1.0,10,qatool,16,5,2,30256
18,1.7249451644829605e-08,1.0,10,qatool,16,5,4,30256
19,1.7878157620998536e-08,1.0,10,qatool,16,5,8,30256
20,1.719583053727547e-08,1.0,10,qatool,16,6,1,34384
21,2.0506197628833434e-08,1.0,10,qatool,16,6,2,34384
22,1.6011442838248513e-08,1.0,10,qatool,16,6,4,34384
23,1.805473281990544e-08,1.0,10,qatool,16,6,8,34384
24,1.1624639029150785e-08,1.0,10,qatool,32,1,1,35680
25,1.3617829530687686e-08,1.0,10,qatool,32,1,2,35680
26,1.059594900709726e-08,1.0,10,qatool,32,1,4,35680
27,1.563538631899064e-08,1.0,10,qatool,32,1,8,35680
28,1.2469589805164105e-08,1.0,10,qatool,32,2,1,52128
29,1.1744566208449214e-08,1.0,10,qatool,32,2,2,52128
30,1.1939695454543653e-08,1.0,10,qatool,32,2,4,52128
31,1.0692781771126647e-08,1.0,10,qatool,32,2,8,52128
32,1.652790260209258e-08,1.0,10,qatool,32,3,1,68576
33,1.631823565162449e-08,1.0,10,qatool,32,3,2,68576
34,1.4504378142987662e-08,1.0,10,qatool,32,3,4,68576
35,1.6176921135979683e-08,1.0,10,qatool,32,3,8,68576
36,1.6448240103272838e-08,1.0,10,qatool,32,4,1,85024
37,1.498393409349319e-08,1.0,10,qatool,32,4,2,85024
38,1.845754127316468e-08,1.0,10,qatool,32,4,4,85024
39,1.899040569242061e-08,1.0,10,qatool,32,4,8,85024
40,1.754295730904687e-08,1.0,10,qatool,32,5,1,101472
41,1.5258009966601094e-08,1.0,10,qatool,32,5,2,101472
42,1.8359836317927147e-08,1.0,10,qatool,32,5,4,101472
