,loss_best,accuracy_best,data.nb_data,data.key,data.seed,model.emb_dim,model.nb_layers,model.block.nb_heads,nb_params
0,0.2644885778427124,0.0,2,qatool,0,4,2,2,2612
1,4.004229836596096e-08,1.0,2,qatool,0,8,2,2,6248
2,1.8218496933286588e-08,1.0,2,qatool,0,12,2,2,10908
3,1.807134530906751e-08,1.0,2,qatool,0,16,2,2,16592
4,1.6414357872918117e-08,1.0,2,qatool,0,20,2,2,23300
5,1.4241871681974771e-08,1.0,2,qatool,0,24,2,2,31032
6,1.1114903664122266e-08,1.0,2,qatool,0,28,2,2,39788
7,1.181006670236684e-08,1.0,2,qatool,0,32,2,2,49568
8,1.1574648794976383e-08,1.0,2,qatool,0,36,2,2,60372
9,1.200299948322936e-08,1.0,2,qatool,0,40,2,2,72200
10,8.646341420615045e-09,1.0,2,qatool,0,44,2,2,85052
11,1.0494316526887815e-08,1.0,2,qatool,0,48,2,2,98928
12,2.7042044159486522e-09,1.0,2,qatool,0,52,2,2,113828
13,6.459520918156159e-09,1.0,2,qatool,0,56,2,2,129752
14,9.567243886010601e-09,1.0,2,qatool,0,60,2,2,146700
15,1.7590251477628271e-09,1.0,2,qatool,0,64,2,2,164672
16,7.497841458814491e-09,1.0,2,qatool,0,68,2,2,183668
17,1.89068494194089e-09,1.0,2,qatool,0,72,2,2,203688
18,2.4098218975865393e-09,1.0,2,qatool,0,76,2,2,224732
19,2.0948749401838995e-09,1.0,2,qatool,0,80,2,2,246800
20,2.0928547783682916e-09,1.0,2,qatool,0,88,2,2,294008
21,1.300907603862811e-09,1.0,2,qatool,0,96,2,2,345312
22,2.0509123566103682e-10,1.0,2,qatool,0,104,2,2,400712
23,3.207309418051807e-10,1.0,2,qatool,0,112,2,2,460208
24,1.6405534708496816e-09,1.0,2,qatool,0,120,2,2,523800
25,1.9066808132350843e-09,1.0,2,qatool,0,128,2,2,591488
26,0.37337440252304077,0.0,2,qatool,1,4,2,2,2612
27,5.251441947962121e-08,1.0,2,qatool,1,8,2,2,6248
28,1.828080264942855e-08,1.0,2,qatool,1,12,2,2,10908
29,1.7029895715836574e-08,1.0,2,qatool,1,16,2,2,16592
30,1.4881914367492755e-08,1.0,2,qatool,1,20,2,2,23300
31,1.5329744584846594e-08,1.0,2,qatool,1,24,2,2,31032
32,1.0464153099576379e-08,1.0,2,qatool,1,28,2,2,39788
33,1.3870784520975121e-08,1.0,2,qatool,1,32,2,2,49568
34,1.189782494748215e-08,1.0,2,qatool,1,36,2,2,60372
35,9.287368207822055e-09,1.0,2,qatool,1,40,2,2,72200
36,1.2592528797483737e-08,1.0,2,qatool,1,44,2,2,85052
37,6.892747705933289e-09,1.0,2,qatool,1,48,2,2,98928
38,1.0836039621153759e-08,1.0,2,qatool,1,52,2,2,113828
39,6.2100844466783656e-09,1.0,2,qatool,1,56,2,2,129752
40,6.4508429709064785e-09,1.0,2,qatool,1,60,2,2,146700
41,1.6600462116045378e-09,1.0,2,qatool,1,64,2,2,164672
42,7.053044814853138e-10,1.0,2,qatool,1,68,2,2,183668
43,2.6596338464912606e-09,1.0,2,qatool,1,72,2,2,203688
44,3.975352547147537e-10,1.0,2,qatool,1,76,2,2,224732
45,1.5703141009737465e-09,1.0,2,qatool,1,80,2,2,246800
46,1.62843682982583e-09,1.0,2,qatool,1,88,2,2,294008
47,1.949205019613487e-09,1.0,2,qatool,1,96,2,2,345312
48,1.0383859327944833e-09,1.0,2,qatool,1,104,2,2,400712
49,1.4036685147544858e-09,1.0,2,qatool,1,112,2,2,460208
50,2.9585720540126204e-09,1.0,2,qatool,1,120,2,2,523800
51,1.4362563360847957e-09,1.0,2,qatool,1,128,2,2,591488
52,0.4329380691051483,0.0,2,qatool,2,4,2,2,2612
53,5.47490976998688e-08,1.0,2,qatool,2,8,2,2,6248
54,1.908271762829372e-08,1.0,2,qatool,2,12,2,2,10908
55,1.5028533084660012e-08,1.0,2,qatool,2,16,2,2,16592
56,1.320988296527048e-08,1.0,2,qatool,2,20,2,2,23300
57,1.2452883169089546e-08,1.0,2,qatool,2,24,2,2,31032
58,1.2369987700822094e-08,1.0,2,qatool,2,28,2,2,39788
59,9.5805754440903e-09,1.0,2,qatool,2,32,2,2,49568
60,1.0988832954694772e-08,1.0,2,qatool,2,36,2,2,60372
61,1.2546657046641485e-08,1.0,2,qatool,2,40,2,2,72200
62,1.2348805533690665e-08,1.0,2,qatool,2,44,2,2,85052
63,9.431702530093844e-09,1.0,2,qatool,2,48,2,2,98928
