,loss_best,accuracy_best,data.nb_data,data.key,data.seed,model.emb_dim,model.nb_layers,model.block.nb_heads,nb_params
0,1.19708332135815e-08,1.0,32768,qatool,0,36,2,2,60372
1,1.3317152713909763e-08,1.0,65536,qatool,0,36,2,2,60372
2,1.0318285781352188e-08,1.0,16384,qatool,0,36,2,2,60372
3,1.3733101766888467e-08,1.0,8192,qatool,0,36,2,2,60372
4,1.1624687878963869e-08,1.0,4096,qatool,0,36,2,2,60372
5,1.098827695500404e-08,1.0,131072,qatool,0,36,2,2,60372
6,1.1698940483029219e-08,1.0,2048,qatool,0,36,2,2,60372
7,1.2752977340824145e-08,1.0,1024,qatool,0,36,2,2,60372
8,2.084702188653864e-08,0.05,512,qatool,0,36,2,2,60372
9,1.4330113984328818e-08,0.075,256,qatool,0,36,2,2,60372
10,2.250019726091068e-08,0.125,256,qa,0,36,2,2,60372
11,1.3283619182402617e-07,0.125,512,qa,0,36,2,2,60372
12,1.881219031929504e-05,0.15,1024,qa,0,36,2,2,60372
13,1.8391991034150124e-05,0.125,2048,qa,0,36,2,2,60372
14,1.9169863662682474e-05,0.15,4096,qa,0,36,2,2,60372
15,1.8391991034150124e-05,0.125,8192,qa,0,36,2,2,60372
16,1.771525785443373e-05,0.125,16384,qa,0,36,2,2,60372
17,1.8391991034150124e-05,0.125,32768,qa,0,36,2,2,60372
18,1.8391991034150124e-05,0.125,65536,qa,0,36,2,2,60372
19,1.8391991034150124e-05,0.125,131072,qa,0,36,2,2,60372
